Date,Adj Close
2016/1/4,21.290872
2016/1/5,21.155937
2016/1/6,20.568004
2016/1/7,20.336686
2016/1/8,20.057176
2016/1/11,20.172836
2016/1/12,19.999347
2016/1/13,19.739115
2016/1/14,21.030639
2016/1/15,20.336686
2016/1/19,20.876427
2016/1/20,20.327048
2016/1/21,20.558365
2016/1/22,21.13666
2016/1/25,21.001725
2016/1/26,20.80896
2016/1/27,20.895704
2016/1/28,20.847512
2016/1/29,21.541466
2016/2/1,21.647486
2016/2/2,21.743868
2016/2/3,22.090846
2016/2/4,22.38963
2016/2/5,21.926995
2016/2/8,21.975186
2016/2/9,21.743868
2016/2/10,21.493274
2016/2/11,21.204127
2016/2/12,21.435445
2016/2/16,22.495652
2016/2/17,22.784798
2016/2/18,22.93901
2016/2/19,22.919735
2016/2/22,23.093222
2016/2/23,22.553481
2016/2/24,22.572758
2016/2/25,22.83299
2016/2/26,22.910096
2016/2/29,22.698054
2016/3/1,23.690793
2016/3/2,23.729347
2016/3/3,23.671516
2016/3/4,23.758261
2016/3/7,23.806453
2016/3/8,23.758261
2016/3/9,23.845005
2016/3/10,23.845005
2016/3/11,24.432938
2016/3/14,24.30764
2016/3/15,23.97994
2016/3/16,24.847383
2016/3/17,24.837744
2016/3/18,25.097977
2016/3/21,24.991956
2016/3/22,24.876296
2016/3/23,24.751
2016/3/24,24.79919
2016/3/28,24.702808
2016/3/29,25.030508
2016/3/30,25.502781
2016/3/31,25.252189
2016/4/1,25.175083
2016/4/4,24.91485
2016/4/5,24.58715
2016/4/6,24.693171
2016/4/7,24.452215
2016/4/8,24.365471
2016/4/11,24.58715
2016/4/12,24.644979
2016/4/13,25.223273
2016/4/14,24.384746
2016/4/15,24.538957
2016/4/18,24.577511
2016/4/19,24.249811
2016/4/20,24.211259
2016/4/21,24.249811
2016/4/22,24.163067
2016/4/25,24.105238
2016/4/26,24.105238
2016/4/27,24.336555
2016/4/28,23.285987
2016/4/29,22.736608
2016/5/2,22.83299
2016/5/3,22.476375
2016/5/4,22.572758
2016/5/5,22.649863
2016/5/6,22.563119
2016/5/9,22.524567
2016/5/10,22.543842
2016/5/11,22.379992
2016/5/12,22.158313
2016/5/13,21.994463
2016/5/16,22.273973
2016/5/17,22.119761
2016/5/18,22.66914
2016/5/19,22.408907
2016/5/20,23.045031
2016/5/23,23.392008
2016/5/24,23.584772
2016/5/25,23.729347
2016/5/26,23.893197
2016/5/27,23.902834
2016/5/31,23.825728
2016/6/1,24.336555
2016/6/2,24.269088
2016/6/3,24.606427
2016/6/6,24.548596
2016/6/7,25.117252
2016/6/8,25.377485
2016/6/9,25.281102
2016/6/10,24.924489
2016/6/13,24.702808
2016/6/14,24.644979
2016/6/15,24.905212
2016/6/16,24.924489
2016/6/17,24.91485
2016/6/20,25.416039
2016/6/21,25.62808
2016/6/22,25.579889
2016/6/23,25.84012
2016/6/24,24.751
2016/6/27,24.9
2016/6/28,25.26
2016/6/29,25.799999
2016/6/30,26.23
2016/7/1,26.530001
2016/7/5,26.26
2016/7/6,26.15
2016/7/7,26.309999
2016/7/8,26.73
2016/7/11,27.200001
2016/7/12,26.969999
2016/7/13,26.889999
2016/7/14,27.110001
2016/7/15,27.01
2016/7/18,27.639999
2016/7/19,27.27
2016/7/20,27.549999
2016/7/21,27.48
2016/7/22,27.74
2016/7/25,27.860001
2016/7/26,28.33
2016/7/27,28.1
2016/7/28,28.139999
2016/7/29,27.780001
2016/8/1,28.620001
2016/8/2,28.16
2016/8/3,28.16
2016/8/4,28.4
2016/8/5,28.790001
2016/8/8,29.09
2016/8/9,29.4
2016/8/10,29.219999
2016/8/11,29.139999
2016/8/12,29.24
2016/8/15,29.389999
2016/8/16,29.08
2016/8/17,28.98
2016/8/18,29.16
2016/8/19,28.639999
2016/8/22,28.4
2016/8/23,28.5
2016/8/24,28.389999
2016/8/25,28.6
2016/8/26,28.639999
2016/8/29,28.700001
2016/8/30,28.620001
2016/8/31,28.74
2016/9/1,28.959999
2016/9/2,29.139999
2016/9/6,29.49
2016/9/7,29.82
2016/9/8,29.790001
2016/9/9,28.59
2016/9/12,28.99
2016/9/13,28.49
2016/9/14,28.620001
2016/9/15,29.18
2016/9/16,28.91
2016/9/19,29.93
2016/9/20,29.9
2016/9/21,30.5
2016/9/22,30.66
2016/9/23,30.120001
2016/9/26,29.84
2016/9/27,30.4
2016/9/28,30.33
2016/9/29,30.4
2016/9/30,30.59
2016/10/3,30.719999
2016/10/4,30.389999
2016/10/5,30.530001
2016/10/6,30.77
2016/10/7,31.18
2016/10/10,31.280001
2016/10/11,30.73
2016/10/12,31.35
2016/10/13,30.530001
2016/10/14,30.66
2016/10/17,30.57
2016/10/18,30.860001
2016/10/19,30.98
2016/10/20,31.059999
2016/10/21,31.08
2016/10/24,31.41
2016/10/25,31.549999
2016/10/26,31.209999
2016/10/27,30.77
2016/10/28,30.77
2016/10/31,31.1
2016/11/1,30.709999
2016/11/2,30.389999
2016/11/3,30.280001
2016/11/4,30.24
2016/11/7,31.35
2016/11/8,31.34
2016/11/9,30.59
2016/11/10,29.440001
2016/11/11,29.93
2016/11/14,28.85
2016/11/15,29.200001
2016/11/16,29.860001
2016/11/17,29.469999
2016/11/18,29.469999
2016/11/21,29.65
2016/11/22,29.91
2016/11/23,29.889999
2016/11/25,29.66
2016/11/28,29.66
2016/11/29,29.549999
2016/11/30,29.690001
2016/12/1,28.549999
2016/12/2,28.860001
2016/12/5,29.02
2016/12/6,29.51
2016/12/7,29.93
2016/12/8,30.040001
2016/12/9,30.120001
2016/12/12,29.9
2016/12/13,30.360001
2016/12/14,29.870001
2016/12/15,30.16
2016/12/16,29.48
2016/12/19,29.27
2016/12/20,29.309999
2016/12/21,29.139999
